Raw Data,,,,,,,,,,,,,,
log(Biomass +1) [base 10?]  with two replicates shown for each planting combination,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,neighbors J,,,,,,,,,,,,,
targets i,1,,2,,3,,4,,5,,6,,7,
1,1.48,1.51,2.03,1.76,1.68,1.76,1.68,1.66,1.79,1.65,1.77,1.82,1.76,1.61
2,1.6,1.69,1.78,1.8,1.98,1.82,1.88,1.89,1.97,1.96,2.01,2.01,1.81,1.73
3,0.74,0.58,0.97,1.16,0.96,1.05,0.82,0.91,1.23,1.14,1.29,1.23,0.97,0.69
4,0.79,0.74,1.25,1.18,1.11,1.06,1.07,1.06,1.35,1.16,1.23,1.21,1.09,1.05
5,0.37,0.21,0.39,0.77,0.74,0.97,0.59,0.59,1,1.02,1.12,1.03,0.38,0.29
6,0.14,0.23,0.42,0.47,0.37,0.58,0.38,0.35,0.77,0.93,0.93,0.57,0.2,0.18
7,1,1.03,1.41,1.53,1.62,1.56,1.39,1.41,1.55,1.59,1.65,1.59,1.43,1.4
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Inverse log the data,,,,,,,,,,,,,,
,neighbors J,,,,,,,,,,,,,
targets i,1,,2,,3,,4,,5,,6,,7,
1,29.1995172040202,31.3593656929628,106.151930523761,56.5439937337157,46.8630092322638,56.5439937337157,46.8630092322638,44.7088189614875,60.6595001861482,43.6683592150963,57.8843655355589,65.0693448007596,56.5439937337157,39.7380277804113
2,38.8107170553497,47.9778819368446,59.2559586074358,62.0957344480193,94.4992586021436,65.0693448007596,74.8577575029184,76.6247116628692,92.3254300796991,90.201083935591,101.329299228075,101.329299228075,63.5654229034656,52.7031796370253
3,4.49540873857625,2.80189396320561,8.33254300796991,13.4543977074593,8.1201083935591,10.2201845430196,5.60693448007596,7.12830516164099,15.9824365246174,12.8038426460288,18.4984459975805,15.9824365246174,8.33254300796991,3.89778819368446
4,5.16595001861482,4.49540873857625,16.7827941003892,14.1356124843621,11.8824955169313,10.4815362149688,10.7489755493953,10.4815362149688,21.3872113856834,13.4543977074593,15.9824365246174,15.2181009735893,11.3026877081238,10.2201845430196
5,1.34422881531992,0.62181009735893,1.45470891568503,4.88843655355589,4.49540873857625,8.33254300796991,2.89045144994281,2.89045144994281,9,9.471285480509,12.1825673855641,9.71519305237607,1.39883291901949,0.949844599758045
6,0.380384264602885,0.698243652461744,1.63026799189538,1.95120922666639,1.34422881531992,2.80189396320561,1.39883291901949,1.23872113856834,4.88843655355589,7.51138038202377,7.51138038202377,2.71535229097173,0.584893192461114,0.513561248436208
7,9,9.71519305237607,24.7039578276886,32.8844156139203,40.6869383470336,35.3078054770101,23.5470891568503,24.7039578276886,34.4813389233575,37.9045144994281,43.6683592150963,37.9045144994281,25.9153480392692,24.1188643150958
,,,,,,,,,,,,,,
Average the replicates,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,neighbors J,,,,,,,,,,,,,
targets i,1,2,3,4,5,6,7,,,,,,,
1,30.2794414484915,81.3479621287381,51.7035014829898,45.7859140968757,52.1639297006223,61.4768551681593,48.1410107570635,,,,,,,
2,43.3942994960972,60.6758465277276,79.7843017014516,75.7412345828938,91.263257007645,101.329299228075,58.1343012702454,,,,,,,
3,3.64865135089093,10.8934703577146,9.17014646828937,6.36761982085848,14.3931395853231,17.240441261099,6.11516560082719,,,,,,,
4,4.83067937859553,15.4592032923757,11.1820158659501,10.6152558821821,17.4208045465713,15.6002687491034,10.7614361255717,,,,,,,
5,0.983019456339426,3.17157273462046,6.41397587327308,2.89045144994281,9.2356427402545,10.9488802189701,1.17433875938877,,,,,,,
6,0.539313958532315,1.79073860928088,2.07306138926277,1.31877702879392,6.19990846778983,5.11336633649775,0.549227220448661,,,,,,,
7,9.35759652618803,28.7941867208044,37.9973719120218,24.1255234922695,36.1929267113928,40.7864368572622,25.0171061771825,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Relative yield,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,neighbors J,,,,,,,,,,,,,
targets i,1,2,3,4,5,6,7,,,,,,,
1,1,2.68657406600844,1.70754475675989,1.5121122420558,1.72275072475688,2.03031668443217,1.58989097731398,,,,,,,
2,0.715182432209939,1,1.31492688223133,1.24829300153697,1.50411180445484,1.67001047413109,0.958112735084451,,,,,,,
3,0.397883650332966,1.1879276296605,1,0.69438583591635,1.56956485210951,1.88006171119697,0.666855826346243,,,,,,,
4,0.455069518079534,1.45631942027175,1.05339108072932,1,1.64111018518287,1.46960835633635,1.01377076963684,,,,,,,
5,0.10643757927695,0.343405740544384,0.694480725777439,0.312967005246368,1,1.18550278815445,0.1271529001734,,,,,,,
6,0.105471410229861,0.350207376400768,0.405420080009885,0.257907793419936,1.21249057074919,1,0.107410106044708,,,,,,,
7,0.374047919847855,1.15097991417836,1.51885560395784,0.964361078431757,1.44672714961747,1.63034191758208,1,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Wins and Losses as binary,,,,,,,,,,,,,,
1 indicates that row species outcompetes column species, 0 indicates its loss,,,,,,,,,,,,,,
,neighbors J,,,,,,,,,,,,,
targets i,1,2,3,4,5,6,7,,,,,,,
1,,1,1,1,1,1,1,,,,,,,
2,0,,1*,0,1,1,0,,,,,,,
3,0,0,,0,1,1,0,,,,,,,
4,0,1*,1,,1,1,1,,,,,,,
5,0,0,0,0,,0,0,,,,,,,
6,0,0,0,0,1*,,0,,,,,,,
7,0,1,1,0,1,1,,,,,,,,
,,,,,,,,,,,,,,
*each species grows better with its competitor (coexistence), but one species grows even better (the 1),,,,,,,,,,,,,,
**each species grows better by itself (alternative stable state), but one species grows less worse in mixture (the 1),,,,,,,,,,,,,,
